"_attachments","_etag","_rid","_self","_ts","ambientTemperature","batteryAdcVoltage","batteryLevel","dataTransferIsOngoing","hmtTemperature","humidity","hydraulicBalancingIsEffective","id","isDirectMotorControlActive","isMotorCalibrated","motorPosition","motorPositionConstraint","publishedAt","rawAmbientTemperature","rotaryEncoder","targetTemperature","targetTemperatureLevel","targetTemperatureTag","taxonomyItemId","tegVoltage","thermostatId","valveOpenness"
attachments/,"""30007f8c-0000-0d00-0000-67bf9d880000""",LHocAPPPqmWg-xsAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWg-xsAAAAAAA==/,1740610952,18.8,3.25,83,false,,51,false,8c1f64ddb0000155-20250226230001457015,false,true,0,1000,2025-02-26T23:00:01.457015Z,18.6,0,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""3000808c-0000-0d00-0000-67bf9d880000""",LHocAPPPqmWh-xsAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWh-xsAAAAAAA==/,1740610952,18.8,3.25,83,false,19.7,51,false,8c1f64ddb0000155-20250226230231457015,false,true,0,1000,2025-02-26T23:02:31.457015Z,18.6,0,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""3000458f-0000-0d00-0000-67bf9fe20000""",LHocAPPPqmUSABwAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUSABwAAAAAAA==/,1740611554,18.8,,,false,,51,false,8c1f64ddb0000155-20250226230733625535,false,true,0,1000,2025-02-26T23:07:33.625535Z,18.6,,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""3000468f-0000-0d00-0000-67bf9fe20000""",LHocAPPPqmUTABwAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUTABwAAAAAAA==/,1740611554,18.8,,,false,,51,false,8c1f64ddb0000155-20250226230503625535,false,true,0,1000,2025-02-26T23:05:03.625535Z,18.6,,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""3000478f-0000-0d00-0000-67bf9fe20000""",LHocAPPPqmUUABwAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUUABwAAAAAAA==/,1740611554,18.7,,,false,,51,false,8c1f64ddb0000155-20250226231003625535,false,true,0,1000,2025-02-26T23:10:03.625535Z,18.5,,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""3000488f-0000-0d00-0000-67bf9fe20000""",LHocAPPPqmUVABwAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUVABwAAAAAAA==/,1740611554,18.7,,,false,19.6,51,false,8c1f64ddb0000155-20250226231233625535,false,true,0,1000,2025-02-26T23:12:33.625535Z,18.6,,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""30001392-0000-0d00-0000-67bfa2390000""",LHocAPPPqmWGABwAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWGABwAAAAAAA==/,1740612153,18.7,,,false,,51,false,8c1f64ddb0000155-20250226231503375341,false,true,0,1000,2025-02-26T23:15:03.375341Z,18.5,,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""30001492-0000-0d00-0000-67bfa2390000""",LHocAPPPqmWHABwAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWHABwAAAAAAA==/,1740612153,18.7,,,false,,52,false,8c1f64ddb0000155-20250226231733375341,false,true,0,1000,2025-02-26T23:17:33.375341Z,18.5,,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""30001592-0000-0d00-0000-67bfa2390000""",LHocAPPPqmWIABwAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWIABwAAAAAAA==/,1740612153,18.7,,,false,,52,false,8c1f64ddb0000155-20250226232003375341,false,true,0,1000,2025-02-26T23:20:03.375341Z,18.5,,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
attachments/,"""30001792-0000-0d00-0000-67bfa23a0000""",LHocAPPPqmWJABwAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWJABwAAAAAAA==/,1740612154,18.7,,,false,19.6,52,false,8c1f64ddb0000155-20250226232233375341,false,true,0,1000,2025-02-26T23:22:33.375341Z,18.5,,18,7,6,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.0300,8c1f64ddb0000155,0
