"_attachments","_etag","_rid","_self","_ts","ambientTemperature","batteryAdcVoltage","batteryLevel","dataTransferIsOngoing","hmtTemperature","humidity","hydraulicBalancingIsEffective","id","isDirectMotorControlActive","isMotorCalibrated","motorPosition","motorPositionConstraint","publishedAt","rawAmbientTemperature","rotaryEncoder","targetTemperature","targetTemperatureLevel","targetTemperatureTag","taxonomyItemId","tegVoltage","thermostatId","valveOpenness"
attachments/,"""0b009aa7-0000-0d00-0000-6804b6230000""",LHocAPPPqmUD6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUD6SkAAAAAAA==/,1745139235,24.5,,,false,,43,false,8c1f64ddb0000155-20250420084624970177,false,true,0,750,2025-04-20T08:46:24.970177Z,29.4,,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.150,8c1f64ddb0000155,0
attachments/,"""0b009ba7-0000-0d00-0000-6804b6230000""",LHocAPPPqmUE6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUE6SkAAAAAAA==/,1745139235,24.6,,,false,32.2,44,false,8c1f64ddb0000155-20250420085354970177,false,true,0,750,2025-04-20T08:53:54.970177Z,29,,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.130,8c1f64ddb0000155,0
attachments/,"""0b009fa7-0000-0d00-0000-6804b6230000""",LHocAPPPqmUI6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUI6SkAAAAAAA==/,1745139235,24.6,,,false,,43,false,8c1f64ddb0000155-20250420084854970177,false,true,0,750,2025-04-20T08:48:54.970177Z,29.3,,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.140,8c1f64ddb0000155,0
attachments/,"""0b00a0a7-0000-0d00-0000-6804b6230000""",LHocAPPPqmUJ6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUJ6SkAAAAAAA==/,1745139235,24.6,,,false,,44,false,8c1f64ddb0000155-20250420085124970177,false,true,0,750,2025-04-20T08:51:24.970177Z,29.2,,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.140,8c1f64ddb0000155,0
attachments/,"""0b00aca8-0000-0d00-0000-6804b87d0000""",LHocAPPPqmWW6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWW6SkAAAAAAA==/,1745139837,24.6,2.97,0,false,,45,false,8c1f64ddb0000155-20250420085856959503,false,true,0,750,2025-04-20T08:58:56.959503Z,28.7,0,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.120,8c1f64ddb0000155,0
attachments/,"""0b00ada8-0000-0d00-0000-6804b87d0000""",LHocAPPPqmWX6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWX6SkAAAAAAA==/,1745139837,24.6,2.97,0,false,,44,false,8c1f64ddb0000155-20250420085626959503,false,true,0,750,2025-04-20T08:56:26.959503Z,28.8,0,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.130,8c1f64ddb0000155,0
attachments/,"""0b00aea8-0000-0d00-0000-6804b87d0000""",LHocAPPPqmWY6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWY6SkAAAAAAA==/,1745139837,24.7,2.97,0,false,,45,false,8c1f64ddb0000155-20250420090126959503,false,true,0,750,2025-04-20T09:01:26.959503Z,28.6,0,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.120,8c1f64ddb0000155,0
attachments/,"""0b00afa8-0000-0d00-0000-6804b87d0000""",LHocAPPPqmWZ6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWZ6SkAAAAAAA==/,1745139837,24.7,2.97,0,false,31.2,45,false,8c1f64ddb0000155-20250420090356959503,false,true,0,750,2025-04-20T09:03:56.959503Z,28.5,0,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.120,8c1f64ddb0000155,0
attachments/,"""0b00baa8-0000-0d00-0000-6804b8890000""",LHocAPPPqmWa6SkAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmWa6SkAAAAAAA==/,1745139849,,,,false,,,false,8c1f64ddb0000155-20250420090409475862,false,true,0,,2025-04-20T09:04:09.475862Z,,,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,,8c1f64ddb0000155,0
attachments/,"""0b0051ac-0000-0d00-0000-6804bad50000""",LHocAPPPqmUn6ikAAAAAAA==,dbs/LHocAA==/colls/LHocAPPPqmU=/docs/LHocAPPPqmUn6ikAAAAAAA==/,1745140437,24.7,,,false,,46,false,8c1f64ddb0000155-20250420090627149396,false,true,0,750,2025-04-20T09:06:27.149396Z,28.3,,6,0,1,da8b1f31-b35d-4329-875c-d1e8c3f39f55,0.110,8c1f64ddb0000155,0
